Analog,Percentage
0,0
10,1
20,2
31,3
41,4
51,5
61,6
72,7
82,8
92,9
102,10
113,11
123,12
133,13
143,14
154,15
164,16
174,17
184,18
195,19
205,20
215,21
225,22
236,23
246,24
256,25
266,26
276,27
287,28
297,29
307,30
317,31
328,32
338,33
348,34
358,35
369,36
379,37
389,38
399,39
410,40
420,41
430,42
440,43
451,44
461,45
471,46
481,47
492,48
502,49
512,50
522,51
532,52
543,53
553,54
563,55
573,56
584,57
594,58
604,59
614,60
625,61
635,62
645,63
655,64
666,65
676,66
686,67
696,68
707,69
717,70
727,71
737,72
748,73
758,74
768,75
778,76
788,77
799,78
809,79
819,80
829,81
840,82
850,83
860,84
870,85
881,86
891,87
901,88
911,89
922,90
932,91
942,92
952,93
963,94
973,95
983,96
993,97
1004,98
1014,99
1023,100
